stockA,stockB,corr,sector_A,sector_B,sameSector
ZIJIN MINING,XINYI GLASS,0.958546731,Precious metals,Glass strands,FALSE
TECHTRONIC IND,MEIDONG AUTO,0.957322139,Machinery,Auto sales,FALSE
ICBC,BANK OF CHINA,0.957265975,State-owned China banks,State-owned China banks,TRUE
HANG SENG BANK,HSBC HOLDINGS,0.957251177,Bank,Bank,TRUE
KINGDEE INT'L,PHARMARON,0.956752182,Technology and Software,Biotechnology,FALSE
XINYI GLASS,MAN WAH HLDGS,0.956701149,Glass strands,Housewares,FALSE
CITIC BANK,BANK OF CHINA,0.956669412,small and medium China banks,State-owned China banks,FALSE
WUXI BIO,XINYI GLASS,0.955623233,Biotechnology,Glass strands,FALSE
LI NING,BYD COMPANY,0.955307813,Sporting Goods,Automobile,FALSE
XINYI SOLAR,XIAOMI-W,0.955117369,Photovoltaic Solar,Telecommunications Equipment,FALSE
XINYI SOLAR,BYD COMPANY,0.955061481,Photovoltaic Solar,Automobile,FALSE
CHINA YOUZAN,WUXI APPTEC,0.954898607,E-commerce and Internet,Healthcare,FALSE
TSINGTAO BREW,HKEX,0.954819369,Alcoholic Beverages,Other financial services,FALSE
PHARMARON,MEIDONG AUTO,0.954686018,Biotechnology,Auto sales,FALSE
HKEX,MEITUAN-W,0.954514147,Other financial services,E-commerce and Internet,FALSE
GEELY AUTO,ZIJIN MINING,0.954460418,Automobile,Precious metals,FALSE
MEILAN AIRPORT,EVERG HEALTH,0.954363952,Aviation Services,Media Entertainment Culture Publishing,FALSE
HKEX,TENCENT,0.95393304,Other financial services,Online and Mobile Games,FALSE
ZIJIN MINING,WUXI BIO,0.95386245,Precious metals,Biotechnology,FALSE
WUXI BIO,BYD COMPANY,0.953583928,Biotechnology,Automobile,FALSE
TIANNENG POWER,CSC,0.952555958,Battery Unit,Other financial services,FALSE
GREATWALL MOTOR,BYD COMPANY,0.952274131,Automobile,Automobile,TRUE
TIANNENG POWER,MICROPORT,0.952179184,Battery Unit,Healthcare,FALSE
CHINASOFT INT'L,ZIJIN MINING,0.952154076,Technology and Software,Precious metals,FALSE
HAIDILAO,BYD ELECTRONIC,0.952089693,Catering,Mobile phone related,FALSE
LI NING,XINYI SOLAR,0.951751314,Sporting Goods,Photovoltaic Solar,FALSE
WUXI BIO,KINGDEE INT'L,0.951278654,Biotechnology,Technology and Software,FALSE
ANTA SPORTS,LI NING,0.951152269,Sporting Goods,Sporting Goods,TRUE
GREATWALL MOTOR,ZIJIN MINING,0.950889209,Automobile,Precious metals,FALSE
CG SERVICES,EVERSUNSHINE LS,0.950751096,Property Management and Agent,Property Management and Agent,TRUE
WUXI APPTEC,TENCENT,0.950549105,Healthcare,Online and Mobile Games,FALSE
GEELY AUTO,CHINASOFT INT'L,0.950322817,Automobile,Technology and Software,FALSE
HUABAO INTL,CHINA YOUZAN,0.950271249,Food and beverage Production and Wholesale,E-commerce and Internet,FALSE
