fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency
AAEMX,Alger Emerging Markets Fund Class A,Diversified Emerging Mkts,Alger,28450000,10.38,1.91,2,28/12/2010,Growth,Large,USD
AAENX,Cavanal Hill Strategic Enhanced Yield Fund Class A,Multisector Bond,Cavanal Hill funds,6440000,1.99,2.92,0,25/12/2017,Blend,Medium,USD
AAERX,American Beacon International Equity Fund Class R6,Foreign Large Value,American Beacon,2900000000,9.67,2.19,4,27/2/2017,Value,Large,USD
AAESX,Invesco Growth Allocation Fund Class R6,Allocation - 70% to 85% Equity,Invesco,976520000,10.47,1.57,3,3/4/2017,Blend,Large,USD
AAETX,American Funds 2030 Target Date Retirement Fund Class A,Target-Date 2030,American Funds,21330000000,8.96,1.21,5,31/1/2007,Growth,Large,USD
AAFTX,American Funds 2035 Target Date Retirement Fund Class A,Target-Date 2035,American Funds,16960000000,10.54,1.05,5,31/1/2007,Growth,Large,USD
AAGOX,Alger Large Cap Growth Portfolio Class I-2,Large Growth,Alger,282950000,14.66,0,2,5/1/1989,Growth,Large,USD
AAGPX,American Beacon Large Cap Value Fund Investor Class,Large Value,American Beacon,5800000000,13.39,1.72,3,31/7/1994,Value,Large,USD
AAGTX,American Funds 2040 Target Date Retirement Fund Class A,Target-Date 2040,American Funds,14780000000,11.15,0.95,5,31/1/2007,Growth,Large,USD
AAHMX,Aberdeen Short Duration High Yield Municipal Fund Class A,High Yield Muni,Aberdeen,214080000,1.63,3.03,1,30/5/2013,Value,Small,USD
AAHTX,American Funds 2045 Target Date Retirement Fund Class A,Target-Date 2045,American Funds,10720000000,11.27,0.89,5,31/1/2007,Growth,Large,USD
AAHYX,Thrivent Diversified Income Plus Fund Class A,Allocation - 30% to 50% Equity,Thrivent Funds,963260000,6.34,3.32,4,7/1/1997,Blend,Large,USD
AAIBX,Cavanal Hill Moderate Duration Fund Class A,Intermediate-Term Bond,Cavanal Hill funds,27260000,1.82,2,1,1/5/2011,Value,Medium,USD
AAIEX,American Beacon International Equity Fund Institutional Class,Foreign Large Value,American Beacon,2900000000,9.68,2.15,4,6/8/1991,Value,Large,USD
AAIIX,Ancora Income Fund Class I,Multisector Bond,Ancora,29930000,6.77,3.99,4,4/1/2004,Blend,Large,USD
AAINX,Thrivent Opportunity Income Plus Fund Class A,Multisector Bond,Thrivent Funds,580910000,3.89,4.01,3,15/7/1987,Value,Medium,USD
AAIPX,American Beacon International Equity Fund Investor Class,Foreign Large Value,American Beacon,2900000000,9.56,1.79,4,31/7/1994,Value,Large,USD
AAISX,American Beacon International Equity Fund Advisor Class,Foreign Large Value,American Beacon,2900000000,9.51,1.58,3,30/4/2003,Value,Large,USD
AAIYX,Alger Mid Cap Focus I,Mid-Cap Growth,Alger,9480000,15.51,0,1,23/9/2008,Growth,Medium,USD
AALGX,Thrivent Large Cap Stock Fund Class A,World Large Stock,Thrivent Funds,1790000000,11.46,1.1,3,15/7/1987,Blend,Large,USD
AALRX,American Beacon Large Cap Value Fund Class R6,Large Value,American Beacon,5800000000,13.53,1.98,3,27/2/2017,Value,Large,USD
AALTX,American Funds 2050 Target Date Retirement Fund Class A,Target-Date 2050,American Funds,8910000000,11.36,0.81,5,31/1/2007,Growth,Large,USD
AAMAX,Absolute Capital Asset Allocator Fund Class A,Tactical Allocation,Absolute Capital,15520000,4.71,0,3,17/12/2015,Blend,Large,USD
AAMBX,Thrivent Municipal Bond Fund Class A,Muni National Long,Thrivent Funds,1490000000,2.64,3.34,2,2/12/1976,,,USD
AAMCX,Absolute Capital Asset Allocator Fund Investor Class,Tactical Allocation,Absolute Capital,15520000,4.59,0,3,17/12/2015,Blend,Large,USD
AAMIX,Absolute Capital Asset Allocator Fund Institutional Class,Tactical Allocation,Absolute Capital,15520000,4.71,0,3,17/12/2015,Blend,Large,USD
AAMOX,Alger SMid Cap Focus Portfolio I-2,Mid-Cap Growth,Alger,1370000,30.53,0,4,1/1/2008,Growth,Medium,USD
AAMPX,AllianzGI Micro Cap Fund Class P,Small Growth,Allianz Funds,19080000,14.48,0,1,26/12/2010,Growth,Small,USD
AAMTX,American Funds 2055 Target Date Retirement Fund Class A,Target-Date 2055,American Funds,4630000000,11.41,0.79,5,31/1/2010,Growth,Large,USD
AANTX,American Funds 2060 Target Date Retirement Fund Class A,Target-Date 2060+,American Funds,1410000000,11.3,0.67,5,26/3/2015,Growth,Large,USD
AAOPX,Cavanal Hill Opportunistic Fund Class A,Allocation - 70% to 85% Equity,Cavanal Hill funds,40570000,10.82,1.01,1,31/8/2011,Growth,Medium,USD
AAPEX,Aberdeen Asia Pacific (ex-Japan) Equity Fund Institutional Service Class,Pacific/Asia ex-Japan Stk,Aberdeen,8750000,11.78,1.08,3,15/11/2009,Growth,Large,USD
AAPIX,Aberdeen Asia Pacific (ex-Japan) Equity Fund Institutional Class,Pacific/Asia ex-Japan Stk,Aberdeen,8750000,11.84,1.07,3,15/11/2009,Growth,Large,USD
AARBX,Invesco Real Estate B,Real Estate,Invesco,1600000000,7.62,0.37,3,2/3/1998,Growth,Medium,USD
AARMX,American Independence Global Tactical Allocation Fund Class A,Tactical Allocation,American Independence,20930000,1.63,1.26,4,19/9/2013,Blend,Large,USD
AASCX,Thrivent Mid Cap Stock Fund Class A,Mid-Cap Blend,Thrivent Funds,2140000000,14.2,0.16,5,29/6/1993,Blend,Medium,USD
AASMX,Thrivent Small Cap Stock Fund Class A,Small Growth,Thrivent Funds,700640000,16.4,0,3,30/6/1996,Growth,Small,USD
AASOX,Alger Small Cap Growth Portfolio Class I-2,Small Growth,Alger,219060000,19.16,0,3,20/9/1988,Growth,Medium,USD
AASRX,American Beacon Small Cap Value Fund R6 Class,Small Value,American Beacon,6380000000,12.21,0.75,4,27/2/2017,Value,Small,USD
AASSX,American Beacon Small Cap Value Fund Advisor Class,Small Value,American Beacon,6380000000,12.12,0.13,3,30/4/2003,Value,Small,USD
AASTX,Cavanal Hill Limited Duration Fund Class A,Short-Term Bond,Cavanal Hill funds,112110000,1.44,2.17,3,1/5/2011,Value,Medium,USD
AATIX,Ancora/Thelen Small-Mid Cap Fund Class I,Small Blend,Ancora,123880000,16.19,0.19,3,1/1/2013,Blend,Small,USD
AATSX,Ancora/Thelen Small-Mid Cap Fund Class S,Small Blend,Ancora,123880000,16.41,0.35,4,18/6/2015,Blend,Small,USD
AAUPX,AllianzGI Ultra Micro Cap Fund Class P,Small Growth,Allianz Funds,23660000,11.99,0,1,26/12/2010,Growth,Small,USD
AAUSX,Cavanal Hill Ultra Short Tax-Free Income Fund Class A,Muni National Short,Cavanal Hill funds,10500000,0,0,0,25/12/2017,Value,Medium,USD
AAUTX,Thrivent Large Cap Value Fund Class A,Large Value,Thrivent Funds,1070000000,9.84,1.19,3,28/10/1999,Value,Large,USD
AAVPX,AMG Trust IV - AMG Managers Value Partners Asia Dividend Fund,Pacific/Asia ex-Japan Stk,AMG Funds,10050000,9.09,2.02,4,15/12/2015,Value,Large,USD
AAWEX,Cavanal Hill World Energy Fund A,Equity Energy,Cavanal Hill funds,37030000,12.91,1.3,4,3/2/2014,Blend,Large,USD
AAWVX,Cavanal Mid Cap Core Equity Fund Class A,Mid-Cap Blend,Cavanal Hill funds,1230000,14.7,0.41,0,29/12/2016,Growth,Medium,USD
AAXAX,Northern Lights Fund Trust - Adaptive Allocation Fund,Tactical Allocation,Northern Lights Fund Tr (Criticalmath),12010000,2.19,0,1,24/3/2010,Blend,Medium,USD
AAZAX,AB Municipal Income Fund II Arizona Portfolio Class A,Muni Single State Interm,AllianceBernstein,113870000,2.75,2.86,5,31/5/1994,Value,Medium,USD
AAZBX,AB Municipal Income Fund II Arizona Portfolio Class B,Muni Single State Interm,AllianceBernstein,113870000,2.47,2.13,3,31/5/1994,Value,Medium,USD
AAZCX,AB Municipal Income Fund II Arizona Portfolio Class C,Muni Single State Interm,AllianceBernstein,113870000,2.48,2.13,3,31/5/1994,Value,Medium,USD
ABAEX,AB Emerging Markets Multi-Asset Portfolio Class A,Diversified Emerging Mkts,AllianceBernstein,126550000,10.1,5.17,3,30/8/2011,Value,Large,USD
ABALX,American Funds American Balanced Fund Class A,Allocation - 50% to 70% Equity,American Funds,1.4018E+11,7.92,1.88,5,24/7/1975,Blend,Large,USD
ABAMX,AllianzGI Retirement 2030 Fund Administrative Class,Target-Date 2030,Allianz Funds,58340000,8.43,2.33,1,28/12/2008,Blend,Large,USD
ABASX,AB Discovery Value Fund Class A,Small Value,AllianceBernstein,2880000000,11.62,0.29,4,28/3/2001,Value,Medium,USD
ABBSX,AB Discovery Value Fund Class B,Small Value,AllianceBernstein,2880000000,11.54,0.14,4,28/3/2001,Value,Medium,USD
ABCAX,American Beacon The London Company Income Equity Fund A Class,Large Value,American Beacon,1050000000,13.31,1.77,4,28/5/2012,Blend,Large,USD
ABCCX,American Beacon Balanced Fund C Class,Allocation - 50% to 70% Equity,American Beacon,277940000,9.9,0.83,2,31/8/2010,Value,Large,USD
ABCEX,AB Emerging Markets Multi-Asset Portfolio Class C,Diversified Emerging Mkts,AllianceBernstein,126550000,9.99,4.49,3,30/8/2011,Value,Large,USD
ABCFX,Invesco Greater China B,China Region,Invesco,97510000,41.33,0,3,30/3/2006,Blend,Large,USD
ABCIX,American Beacon The London Company Income Equity Fund Institutional Class,Large Value,American Beacon,1050000000,13.43,2.04,5,28/5/2012,Blend,Large,USD
ABCSX,AB Discovery Value Fund Class C,Small Value,AllianceBernstein,2880000000,11.42,0,3,28/3/2001,Value,Medium,USD
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,Large Value,American Beacon,1050000000,13.36,1.73,4,28/5/2012,Blend,Large,USD
ABCYX,American Beacon The London Company Income Equity Fund Y Class,Large Value,American Beacon,1050000000,13.36,1.99,4,28/5/2012,Blend,Large,USD
ABDAX,Columbia Capital Allocation Conservative Portfolio Class A,Allocation - 15% to 30% Equity,Columbia,226060000,4.89,2.15,3,3/3/2004,Blend,Large,USD
ABECX,American Beacon The London Company Income Equity Fund C Class,Large Value,American Beacon,1050000000,13.08,1.11,4,28/5/2012,Blend,Large,USD
ABEIX,Aberdeen Intermediate Municipal Income Fund Institutional Class,Muni National Interm,Aberdeen,72440000,2.28,3.21,3,16/3/1986,,,USD
ABEMX,Aberdeen Emerging Markets Fund Institutional Class,Diversified Emerging Mkts,Aberdeen,5660000000,10.84,1.29,4,10/5/2007,Growth,Large,USD
ABERX,Aberdeen Intermediate Municipal Income Fund Class R,Muni National Interm,Aberdeen,72440000,2.35,2.9,2,24/2/2013,,,USD
ABESX,Aberdeen Intermediate Municipal Income Fund Institutional Services Class,Muni National Interm,Aberdeen,72440000,2.38,3.21,3,24/2/2013,,,USD
ABEYX,American Beacon International Equity Fund Class Y,Foreign Large Value,American Beacon,2900000000,9.65,1.99,3,2/8/2009,Value,Large,USD
ABFAX,American Beacon Balanced Fund Class A,Allocation - 50% to 70% Equity,American Beacon,277940000,10.1,1.42,3,16/5/2010,Value,Large,USD
ABGNX,American Century Balanced Fund R5 Class,Allocation - 50% to 70% Equity,American Century Investments,883980000,9.43,1.69,4,9/4/2017,Growth,Large,USD
ABHFX,American High-Income Municipal Bond Fund Class F-1,High Yield Muni,American Funds,6480000000,3.12,3.56,3,18/3/2001,Growth,Small,USD
ABHIX,American Century High-Yield Fund Investor Class,High Yield Bond,American Century Investments,145170000,7.04,5.31,3,29/9/1997,Value,Small,USD
ABHTX,American Century Government Bond Fund I Class,Intermediate Government,American Century Investments,720710000,2.08,2.61,3,9/4/2017,Blend,Large,USD
ABHYX,American Century High Yield Municipal Fund Investor Class,High Yield Muni,American Century Investments,688930000,3.37,3.79,3,30/3/1998,Growth,Small,USD
ABIAX,AB International Value Fund Class A,Foreign Large Value,AllianceBernstein,185430000,8.69,0.23,1,28/3/2001,Value,Large,USD
ABIBX,AB International Value Fund Class B,Foreign Large Value,AllianceBernstein,185430000,8.51,0,1,28/3/2001,Value,Large,USD
ABICX,AB International Value Fund Class C,Foreign Large Value,AllianceBernstein,185430000,8.54,0,1,28/3/2001,Value,Large,USD
ABIEX,AB Emerging Markets Multi-Asset Portfolio Class I,Diversified Emerging Mkts,AllianceBernstein,126550000,10.24,5.52,3,30/8/2011,Value,Large,USD
ABIMX,AB Impact Municipal Income Shares,High Yield Muni,AllianceBernstein,128360000,3.94,3.16,0,11/9/2017,Blend,Medium,USD
ABINX,American Century Balanced Fund I Class,Allocation - 50% to 70% Equity,American Century Investments,883980000,9.43,1.69,4,30/4/2000,Growth,Large,USD
ABISX,Aberdeen Asia Bond Institutional Svcs,Emerging Markets Bond,Aberdeen,3310000,2.07,3.89,2,3/1/2010,,,USD
ABIYX,AB International Value Fund Advisor Class,Foreign Large Value,AllianceBernstein,185430000,8.76,0.48,1,28/3/2001,Value,Large,USD
ABIZX,AMG Managers Fairpointe Mid Cap Fund Class Z,Mid-Cap Value,AMG Funds,2530000000,14.99,0.79,2,28/9/2017,Value,Medium,USD
ABKEX,AB Emerging Markets Multi-Asset Portfolio Class K,Diversified Emerging Mkts,AllianceBernstein,126550000,10.24,5.1,3,30/8/2011,Value,Large,USD
ABKYX,Invesco Moderate Allocation Fund Class Y,Allocation - 50% to 70% Equity,Invesco,704360000,8.83,2.29,3,2/10/2008,Blend,Large,USD
ABLAX,AllianzGI Retirement 2030 Fund Class A,Target-Date 2030,Allianz Funds,58340000,8.49,2.22,1,28/12/2008,Blend,Large,USD
ABLCX,AllianzGI Retirement 2030 Fund Class C,Target-Date 2030,Allianz Funds,58340000,8.28,1.31,1,28/12/2008,Blend,Large,USD
ABLIX,AllianzGI Retirement 2030 Fund R6 Class,Target-Date 2030,Allianz Funds,58340000,8.54,2.58,2,28/12/2008,Blend,Large,USD
ABLOX,Alger Balanced Portfolio Class I-2,Allocation - 50% to 70% Equity,Alger,44880000,7.53,4.25,4,4/9/1989,Blend,Large,USD
ABLPX,AllianzGI Retirement 2030 Fund Class P,Target-Date 2030,Allianz Funds,58340000,8.51,2.57,2,28/12/2008,Blend,Large,USD
ABLRX,AllianzGI Retirement 2030 Fund Class R,Target-Date 2030,Allianz Funds,58340000,8.36,1.68,1,28/12/2008,Blend,Large,USD
ABLSX,American Beacon Balanced Fund Advisor Class,Allocation - 50% to 70% Equity,American Beacon,277940000,10.13,1.11,3,30/5/2005,Value,Large,USD
ABLYX,American Beacon Large Cap Value Fund Class Y,Large Value,American Beacon,5800000000,13.49,1.86,2,2/8/2009,Value,Large,USD
ABMAX,American Beacon Mid-Cap Value Fund Class A,Mid-Cap Value,American Beacon,571500000,13.63,0.95,2,16/5/2010,Value,Medium,USD
ABMIX,AMG Managers Fairpointe Mid Cap Fund Class I,Mid-Cap Value,AMG Funds,2530000000,14.94,0.68,2,5/7/2004,Value,Medium,USD
ABNAX,AB Bond Inflation Strategy Class A,Inflation-Protected Bond,AllianceBernstein,623640000,3.36,2.53,4,25/1/2010,Value,Medium,USD
ABNCX,AB Bond Inflation Strategy Class C,Inflation-Protected Bond,AllianceBernstein,623640000,3.05,1.98,2,25/1/2010,Value,Medium,USD
ABNDX,American Funds The Bond Fund of America Class A,Intermediate-Term Bond,American Funds,41860000000,2.91,2.41,3,27/5/1974,Value,Small,USD
ABNFX,American Funds The Bond Fund of America Class F-2,Intermediate-Term Bond,American Funds,41860000000,2.97,2.66,3,3/8/2008,Value,Small,USD
ABNIX,Aberdeen International Small Cap Fund Institutional Class,Foreign Small/Mid Growth,Aberdeen,81440000,11.3,2.4,4,19/7/2009,Growth,Medium,USD
ABNKX,AB Bond Inflation Strategy Class K,Inflation-Protected Bond,AllianceBernstein,623640000,3.27,2.53,4,25/1/2010,Value,Medium,USD
ABNOX,AB Bond Inflation Strategy Class 1,Inflation-Protected Bond,AllianceBernstein,623640000,3.41,2.78,4,25/1/2010,Value,Medium,USD
ABNRX,AB Bond Inflation Strategy Class R,Inflation-Protected Bond,AllianceBernstein,623640000,3.27,2.27,3,25/1/2010,Value,Medium,USD
ABNTX,AB Bond Inflation Strategy Class 2,Inflation-Protected Bond,AllianceBernstein,623640000,3.31,2.87,4,25/1/2010,Value,Medium,USD
ABNYX,AB Bond Inflation Strategy Advisor Class,Inflation-Protected Bond,AllianceBernstein,623640000,3.36,2.73,4,25/1/2010,Value,Medium,USD
ABNZX,AB Bond Inflation Strategy Fund Class Z,Inflation-Protected Bond,AllianceBernstein,623640000,3.4,2.85,5,10/12/2014,Value,Medium,USD
ABPAX,AB Conservative Wealth Strategy Class A,Allocation - 30% to 50% Equity,AllianceBernstein,182130000,6.87,0.77,1,1/9/2003,Blend,Large,USD
ABPBX,AB Conservative Wealth Strategy Class B,Allocation - 30% to 50% Equity,AllianceBernstein,182130000,6.62,0,1,1/9/2003,Blend,Large,USD
ABPCX,AB Conservative Wealth Strategy Class C,Allocation - 30% to 50% Equity,AllianceBernstein,182130000,6.6,0,1,1/9/2003,Blend,Large,USD
ABPRX,AB Large Cap Growth Fund Class R,Large Growth,AllianceBernstein,8440000000,15.8,0,4,2/11/2003,Growth,Large,USD
ABPYX,AB Conservative Wealth Strategy Advisor Class,Allocation - 30% to 50% Equity,AllianceBernstein,182130000,6.93,1.01,2,1/9/2003,Blend,Large,USD
ABQBX,AB Intermediate Bond Portfolio Class B,Intermediate-Term Bond,AllianceBernstein,336600000,2.93,2.33,3,30/6/1999,Blend,Medium,USD
ABQCX,AB Intermediate Bond Portfolio Class C,Intermediate-Term Bond,AllianceBernstein,336600000,2.94,2.35,3,30/6/1999,Blend,Medium,USD
ABQIX,AB Intermediate Bond Portfolio Class I,Intermediate-Term Bond,AllianceBernstein,336600000,3.18,3.31,4,28/2/2005,Blend,Medium,USD
ABQKX,AB Intermediate Bond Portfolio Class K,Intermediate-Term Bond,AllianceBernstein,336600000,3.21,3.07,4,28/2/2005,Blend,Medium,USD
ABQRX,AB Intermediate Bond Portfolio Class R,Intermediate-Term Bond,AllianceBernstein,336600000,3.06,2.83,3,2/11/2003,Blend,Medium,USD
ABQUX,AB Intermediate Bond Portfolio Class A,Intermediate-Term Bond,AllianceBernstein,336600000,3.21,3.07,4,30/6/1999,Blend,Medium,USD
ABQYX,AB Intermediate Bond Portfolio Advisor Class,Intermediate-Term Bond,AllianceBernstein,336600000,3.18,3.32,4,9/10/2000,Blend,Medium,USD
ABQZX,AB Intermediate Bond Portfolio Class Z,Intermediate-Term Bond,AllianceBernstein,336600000,3.17,3.31,4,24/4/2014,Blend,Medium,USD
ABRCX,Invesco Balanced-Risk Allocation Fund Class C,World Allocation,Invesco,3480000000,8.05,0,3,1/6/2009,Blend,Large,USD
ABREX,AB Emerging Markets Multi-Asset Portfolio Class R,Diversified Emerging Mkts,AllianceBernstein,126550000,10.13,4.78,3,30/8/2011,Value,Large,USD
ABRFX,AmericaFirst Tactical Alpha Fund Class A,Tactical Allocation,AmericaFirst Funds,13590000,7.3,0,2,25/2/2010,Blend,Medium,USD
ABRIX,Invesco Balanced-Risk Allocation Fund R5 Class,World Allocation,Invesco,3480000000,8.28,0,4,1/6/2009,Blend,Large,USD
ABRJX,ABR Dynamic Short Volatility Fund Investor Shares,Volatility,ABR,3970000,34.88,0,0,10/10/2017,,,USD
ABRRX,Invesco Balanced-Risk Allocation Fund Class R,World Allocation,Invesco,3480000000,8.19,0,4,1/6/2009,Blend,Large,USD
ABRSX,ABR Dynamic Short Volatility Fund Institutional Shares,Volatility,ABR,3970000,35.21,0,0,1/10/2017,,,USD
ABRTX,ABR Dynamic Blend Equity & Volatility Fund Investor Shares,Long-Short Equity,ABR,36290000,3.73,0,2,13/8/2015,,,USD
ABRUX,AmericaFirst Tactical Alpha Fund Class U,Tactical Allocation,AmericaFirst Funds,13590000,7.18,0,2,25/2/2010,Blend,Medium,USD
ABRVX,ABR Dynamic Blend Equity & Volatility Fund Institutional Shares,Long-Short Equity,ABR,36290000,3.79,0,3,2/8/2015,,,USD
ABRWX,AmericaFirst Tactical Alpha Fund Class I,Tactical Allocation,AmericaFirst Funds,13590000,7.57,0,3,11/7/2010,Blend,Medium,USD
ABRYX,Invesco Balanced-Risk Allocation Fund Class Y,World Allocation,Invesco,3480000000,8.29,0,4,1/6/2009,Blend,Large,USD
ABRZX,Invesco Balanced-Risk Allocation Fund Class A,World Allocation,Invesco,3480000000,8.23,0,4,1/6/2009,Blend,Large,USD
ABSAX,American Beacon Small Cap Value Fund Class A,Small Value,American Beacon,6380000000,12.15,0.31,3,16/5/2010,Value,Small,USD
ABSCX,AllianzGI Retirement 2020 Fund Class C,Target-Date 2020,Allianz Funds,33540000,6.27,1.1,1,28/12/2008,Blend,Large,USD
ABSGX,AllianzGI Best Styles Global Equity Fund Class C,World Large Stock,Allianz Funds,484540000,11.7,0,2,25/4/2016,Blend,Large,USD
ABSIX,AB Discovery Value Fund Class I,Small Value,AllianceBernstein,2880000000,11.73,0.55,4,28/2/2005,Value,Medium,USD
ABSKX,AB Discovery Value Fund Class K,Small Value,AllianceBernstein,2880000000,11.63,0.21,4,28/2/2005,Value,Medium,USD
ABSRX,AB Discovery Value Fund Class R,Small Value,AllianceBernstein,2880000000,11.53,0,4,2/11/2003,Value,Medium,USD
ABSYX,American Beacon Small Cap Value Fund Class Y,Small Value,American Beacon,6380000000,12.25,0.64,3,2/8/2009,Value,Small,USD
